"Save changes";"Save changes"
"Click ""Add Video"" to select a video from your computer. After you have selected video, click on Post Video at the bottom to begin uploading the file. Please wait while your video is being uploaded. When your upload is finished, your video will be processed - you will be notified when it is ready to be viewed.";"Click ""Add Video"" to select a video from your computer. After you have selected video, click on Post Video at the bottom to begin uploading the file. Please wait while your video is being uploaded. When your upload is finished, your video will be processed - you will be notified when it is ready to be viewed."
"Post Video";"Post Video"
"Create Event";"Create Event"
"ADMIN_ACTIVITY_TYPE_YNEVENT_CREATE";"When a user (subject) creates a new event (object)."
"ADMIN_ACTIVITY_TYPE_YNEVENT_TOPIC_CREATE";"When a user (subject) creates a new event topic (object)."
"_ACTIVITY_ACTIONTYPE_YNEVENT_CREATE";"New events"
"_ACTIVITY_ACTIONTYPE_YNEVENT_VIDEO_CREATE";"When a video was created for the event."
"_ACTIVITY_ACTIONTYPE_YNEVENT_TOPIC_CREATE";"Creating an event discussion topic"
"ACTIVITY_TYPE_YNEVENT_CREATE";"When a new event is created"
"ACTIVITY_TYPE_YNEVENT_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_YNEVENT_TOPIC_CREATE";"When someone creates a new event topic."
"EVENT_FORM_ADMIN_LEVEL_AUTHVIDEO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create videos in their events. If you do not check any options, all members will be allowed to create videos."
"EVENT_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create events? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view events and manage their subscriptions, but only want certain levels to be able to create events."
"No, do not allow events to be created.";"No, do not allow events to be created."
"Recently Created";"Recently Created"
"YNEVENT_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their events, create the categories below. This feature is useful if you want to list all your users' event that If you have no categories, your users will not be given the option of assigning a event category."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::event topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::event topic} you created."
"{item:$subject} created a new event:";"{item:$subject} created a new event:"
"_EMAIL_NOTIFY_YNEVENT_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member created."
"Why don't you %1$screate one%2$s?";"Why don't you %1$screate one%2$s?"
"Date Created";"Date Created"
"Who may create videos for this event?";"Who may create videos for this event?"
"Create New Video";"Create New Video"
"Create Sponsor";"Create Sponsor"
"FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about themselves when joining the community or editing their profile. Create some profile questions that allow them to describe themselves in a way that relates to the theme of your community. To reorder the profile questions, click on their names and drag them up or down. If you want to show different sets of questions to different types of members, you can create multiple ""profile types"". This is useful, for example, if you want your community to have ""fans"" and ""musicians"", each with a different set of profile questions."
"Create New Profile Type";"Create New Profile Type"
"group_activity_advgroup_event_create";"Event creation in group."
"Create New Group";"Create New Group"
"Tip: %1$sClick here%2$s to create the first group!";"Tip: %1$sClick here%2$s to create the first group!"
"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!";"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!"
"Who may create events for this group?";"Who may create events for this group?"
"ADMIN_ACTIVITY_TYPE_ADVGROUP_CREATE";"When a user (subject) creates a new club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a user (subject) creates a new topic in a club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_POLL_NEW";"When a user (subject) creates a new poll in a club (object)."
"_ACTIVITY_ACTIONTYPE_ADVGROUP_CREATE";"New clubs"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_CREATE";"Creating a club discussion topic"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_CREATE";"Creating a new wiki page in club"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_LISTING_CREATE";"Creating a new listing in club"
"ACTIVITY_TYPE_ADVGROUP_APPROVE";"When someone requests to join a club I created."
"ACTIVITY_TYPE_ADVGROUP_CREATE";"When a new club is created."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a new club topic is created."
"Allow Create Wiki Pages on Groups?";"Allow Create Wiki Pages on Groups?"
"Do you want to let members of this level create wiki pages on groups?";"Do you want to let members of this level create wiki pages on groups?"
"Yes, allow members to create wiki pages on groups.";"Yes, allow members to create wiki pages on groups."
"No, do not allow members to create wiki pages on groups.";"No, do not allow members to create wiki pages on groups."
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create groups? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view groups and manage their subscriptions, but only want certain levels to be able to create groups."
"No, do not allow groups to be created.";"No, do not allow groups to be created."
"Allow Create Sub Groups on Groups?";"Allow Create Sub Groups on Groups?"
"Do you want to let members of this level create sub groups on groups?";"Do you want to let members of this level create sub groups on groups?"
"Yes, allow members to create sub groups on groups.";"Yes, allow members to create sub groups on groups."
"Post Player Card";"Post Player Card"
"";""
"Post Event/Tryout";"Post Event/Tryout"
"Find/Invite Friend";"Find or Invite a Friend"
"Create organization";"Create Corporate Page"
"Organization page";"My Corporate Page"
"Request Event Membership";"Request Event Membership"
"Would you like to request membership in this Event?";"Would you like to request membership in this Event?"
"Group membership request sent";"Your group membership request has been sent."
"Group membership request cancelled.";"Your group membership request has been cancelled."
"Approve Group Membership Request";"Approve Group Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this group?"
"Cancel Group Membership Request";"Cancel Group Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this group?"
"Request Group Membership";"Request Group Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this group?"
"Request Membership";"Request Membership"
"Cancel Membership Request";"Cancel Membership Request"
"Yes, hide membership for this network.";"Yes, hide membership for this network."
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_BODY";"[header]

Thank you for subscribing to our social network! Your subscription is
pending, awaiting completion of the transaction. Your membership will be
activated soon; we will notify you by email when it is ready.
Thank you for your patience.

[subscription_title]
[subscription_description]
[subscription_terms]

[footer]"
"Compare Membership Packages";"Compare Membership Plans"
"ADMIN_SIGNUP_STEP_SLADVSUBSCRIPTION_PLUGIN_SIGNUP_SUBSCRIPTION";"Choose Advanced Membership"
"%1$s: Choose Adv Membership";"%1$s: Choose Adv Membership"
"Accept Membership Request";"Accept Membership Request"
"Ignore Membership Request";"Ignore Membership Request"
"Membership Plan";"Membership Plan"
"Please select a membership plan from the list below.";"Please select a membership plan from the list below."
"Membership are not required for administrators and moderators.";"Membership is not required for administrators and moderators."
"Membership";"Manage membership"
"Post Campaign ";"Post Campaign "
"Post Event/Tryous";"Post Event/Tryous"
"NEW_CAMPAIGN_DESCRIPTION";"Create a campaign to hire player with specific criteria. All players that matches your set criteria can submit their videos and profiles."
"Remove Follower";"Unfollow"
"Recommend for %s";"Write a Recommendation"
"Not writeable";"Not writeable"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_STYLESHEETSPERMISSION";"The stylesheets for your current theme are not writeable. Please set full permissions recursively (CHMOD -R 0777) on ""application/themes/%s"" and try again."
"Path is not writeable. Please CHMOD 0777 the public/admin directory.";"Path is not writeable. Please CHMOD 0777 the public/admin directory."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_TIP";"The stylesheets for your current theme are not writeable. Please set full permissions recursively (CHMOD -R 0777) on ""%s"" and try again."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_TYPE_DESCRIPTION";"If you have enabled
caching above, please select the type of caching that you want to use. Memcache
caching (if available) will use memory (RAM) which is not as abundant as disk
space, however it will be faster than file-based caching when performing
read/write operations"
"Write a comment...";"Write a comment..."
"Write a reply...";"Write a reply..."
"Write Review";"Write Review"
"USER_ADMIN_SETTINGS_TWITTER_DESCRIPTION";"You can now integrate SocialEngine
to Twitter. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Twitter Developers</a> page. You will need to
select ""Read & Write"" in order to allow posting to Twitter. Please use the
following Callback URL: %2$s"
"Be the first to %1$swrite%2$s one!";"Be the first to %1$swrite%2$s one!"
"CORE_VIEWS_SCRIPTS_YNADMINTHEMES_INDEX_STYLESHEETSPERMISSION";"Theme directory is not writeable, It can make your change has no affect. Please set full permissions recursively (CHMOD -R 0777) on ""application/themes/%s"" and try again."
"Write Recommendation";"Write a Recommendation"
"You can not write recommendation for this user.";"You can not write recommendation for this user."
"Write recommendation successfully.";"Write recommendation successfully."
"Are you sure you want to remove this member as a follower?";"Are you sure want to unfollow this user?"
"My Preferred Sports";"Sports I follow:"
"My Preferred Sport Clubs";"Clubs I follow:"
"CORE_FORM_ADMIN_ADS_CREATE_LIMITCTR_DESCRIPTION";"If you specify a minimum CTR (click-through ratio, which is the ratio of clicks to views) and the campaign's CTR goes below your limit, the campaign will end. If you decide to specify a minimum CTR limit, you should enter it as a percentage of clicks to views (e.g. 0.05%). To create a campaign with no definite end, don't specify limits and your campaign will continue until you choose to end it."
"End time cannot be before start time";"End Date/Time cannot be earlier than (before) Start Date/Time."
"Start Time";"Start Date (*)"
"Start time of the event must be less than the end repeat time";"Start Time of the event must be earlier than (before) End Repeat Time."
"Start time";"Start time"
"Start Time(*)";"Start Date (*)"
"End Time must be greater than Start Time.";"End Date/Time must be later than (after) Start Date/Time."
"End Time(*)";"End Date (*)"
"End Time";"End Date (*)"
"End time";"End time"
"all sport types";"all sports"
"Please compose your new announcement below.";"Please compose your new announcement below."
"Compose your new talk entry below, then click ""Post Entry"" to publish the entry to your talk.";"If you have a question, topic or blog that you want to share and get answers, this is the right place."
"Take me to my profile settings.";"Go to Profile Settings"
"Take me to Main Page, I will update my profile later.";"Go to Main Page"
"_EMAIL_NOTIFY_TFCAMPAIGN_ALERT_PLAYER_SUBJECT";"([sender_title]) is matching a Campaign"
"_EMAIL_NOTIFY_TFCAMPAIGN_ALERT_PLAYER_BODY";"[header]<br> <br> Your player <strong>[sender_title]</strong> is matching a new campaign ([object_title]).<br> <br> Click on the following link for more details: http://[host][object_link].<br> <br> [footer]"
"_EMAIL_CORE_WELCOME_PASSWORD_BODY";"[header]

Thank you for joining our social network. Click the following link and enter your information below to login:

http://[host][object_link]

Email: [email]
Password: [password]

[footer]"
"Add Talks";"Add Talk"
"clubs & organizations";"corporates & clubs directory"
"professionals";"professionals directory"
"Professionals Only";"Professionals Only"
"Followers & Professionals";"Followers & Professionals"
"Organizations";"corporates & clubs"
"Enter your password again for confirmation.";"Enter your password again."
"Password Again";"Re-type Password"
"Please make sure the ""password"" and ""password again"" fields match.";"Please make sure the ""password"" and ""password again"" fields match."
"Password";"Type Password"
"Insert your Addthis account password";"Insert your Addthis account password"
"Login failed. Please check the email and password you have provided and try again later !";"Login failed. Please check the email and password you have provided and try again later !"
"Login failed. Please check the email and password you have provided and try again!";"Login failed. Please check the email and password you have provided and try again!"
"Email Address Verification With Password";"Email Address Verification With Password"
"Welcome With Password";"Welcome With Password"
"Admin Password";"Admin Password"
"Require admins to re-enter their password when they try to access the admin panel.";"Require admins to re-enter their password when they try to access the admin panel."
"Require admins to enter a global password when they try to access the admin panel.";"Require admins to enter a global password when they try to access the admin panel."
"The password for ""Require admins to enter a global password when they try to access the admin panel."" above (otherwise ignore).";"The password for ""Require admins to enter a global password when they try to access the admin panel."" above (otherwise ignore)."
"Confirm password";"Confirm password"
"_EMAIL_CORE_VERIFICATION_DESCRIPTION";"This is the email that gets sent to members to verify their email addresses if random passwords are disabled."
"_EMAIL_CORE_VERIFICATION_PASSWORD_TITLE";"Email Address Verification With Password"
"_EMAIL_CORE_VERIFICATION_PASSWORD_DESCRIPTION";"This is the email that gets sent to members to verify their email addresses if you have enabled random passwords."
"_EMAIL_CORE_VERIFICATION_PASSWORD_SUBJECT";"Social Network - Email Verification"
"_EMAIL_CORE_VERIFICATION_PASSWORD_BODY";"[header]

Thank you for joining our social network. To verify your email address and continue, please click the following link:
http://[host][object_link]

Email: [email]
Password: [password]

[footer]"
"_EMAIL_CORE_WELCOME_DESCRIPTION";"This is the email that gets sent when a member signs up if random passwords are disabled."
"_EMAIL_CORE_WELCOME_PASSWORD_TITLE";"Welcome With Password"
"_EMAIL_CORE_WELCOME_PASSWORD_DESCRIPTION";"This is the email that gets sent when a member signs up if random passwords are enabled. Please note that if you have email verification enabled, the password variable is not available. This is due to the fact that passwords are securely encrypted upon signup and cannot be unencrypted when a member verifies their email address and the welcome email is sent."
"_EMAIL_CORE_LOSTPASSWORD_TITLE";"Lost Password"
"_EMAIL_CORE_LOSTPASSWORD_DESCRIPTION";"This is the email that gets sent if a member forgets their password and requests to create a new one."
"_EMAIL_CORE_LOSTPASSWORD_SUBJECT";"Social Network - Lost Password"
"_EMAIL_CORE_LOSTPASSWORD_BODY";"[header]

You have requested to reset your password because you have forgotten your password. If you did not request this, please ignore it. It will expire in 24 hours. To reset your password, please click the following link:

http://[host][object_link]

[footer]"
"CORE_FORM_ADMIN_SETTINGS_MAINTENANCE_MODE_CODE";"If empty, a password will be randomly generated."
"API Password";"API Password"
"PAYMENT_FORM_ADMIN_GATEWAY_2CHECKOUT_DESCRIPTION";"2Checkout Account Configuration:<br />
1) If you haven't already, you will need to establish a <a href=""%6$s"" target=""_blank"">2Checkout account</a>.<br />
2) <a target=""_blank"" href=""%1$s"">Create a new username</a>, checking both the API Access and API Updating checkboxes.  Insert the newly created username and password into this form below.<br />
<em>Note: If you change the secret word in your 2Checkout account, you will need to visit this page again and re-save the settings.</em><br />
3) <a target=""_blank"" href=""%2$s"">Enable Instant Notification Settings</a> (INS). Paste the following URL into the Global Settings > Global URL box, then click Apply and Enable All Notifications, then Save Settings:<br />%3$s<br />
4) <a target=""_blank"" href=""%4$s"">Update the Site Management</a> page, selecting the ""Header Redirect"" option, and pasting the following into the ""Approved URL"" field:<br />%5$s"
"PAYMENT_FORM_ADMIN_GATEWAY_PAYPAL_DESCRIPTION";"Paypal Account Configuration: <br />
1) If you haven't already, you will need to establish a <a target=""_blank"" href=""%1$s"">Paypal account</a>.<br />
2) Enable <a target=""_blank"" href=""%1$s"">API access</a> on your Paypal account via: <em>My Account &gt; Profile &gt; API Access &gt; Request API credentials &gt; Request API Signature</em>.<br />
3) Insert the Paypal API <a target=""_blank"" href=""%1$s"">username, password, and signature</a> values into this form.<br />
4) Enable <a target=""_blank"" href=""%2$s"">Instant Payment Notifications</a> via: <em>My Account &gt; Profile &gt; Instant Payment Notification Preferences &gt; Choose IPN Settings</em>.  The <em>IPN messages</em> should be <strong>enabled</strong>, and the <em>Notification URL</em> should be set to:<br /><strong>%3$s</strong>"
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Forgot Password?</a></span>"
"_EMAIL_SOCIALCONNECT_AUTOPASSWORD_TITLE";"Social Connect Auto Password Generated!"
"_EMAIL_SOCIALCONNECT_AUTOPASSWORD_DESCRIPTION";"This is the email that gets sent when a member signs up via Social Connect if random password is created."
"_EMAIL_SOCIALCONNECT_AUTOPASSWORD_SUBJECT";"An random password is generated!"
"_EMAIL_SOCIALCONNECT_AUTOPASSWORD_BODY";"[header]

Hello [recipient_title], 

A random password [random_password] is generated and associate with your account. 
You can changed your password here [object_link]

[footer]"
"We'll import your address book to suggest connections and help you manage your contacts. And we won't store your password or email anyone without your permission.";"We'll import your address book to suggest connections and help you manage your contacts. And we won't store your password or email anyone without your permission."
"Change Password";"Change Password"
"Old Password";"Old Password"
"New Password";"New Password"
"Passwords must be at least 6 characters in length.";"Passwords must be at least 6 characters in length."
"New Password (again)";"New Password (again)"
"Please enter a valid password.";"Please enter a valid password."
"Password did not match";"Password did not match"
"Invalid credentials supplied";"The credentials you have supplied are invalid. Please check your email and password, and try again."
"Passwords did not match";"Passwords did not match"
"SignUp - Required Info";"Choose your password"
"You have chosen the trial plan. Please check your email for confirmation.";"You have chosen the trial plan. Please check your email for confirmation."
"Carleton graduate student Osama Abushaban stood before a panel of four judges, all of them experienced entrepreneurs. Dressed in smart casual, he didn’t realize how nervous he was and that he had been holding his breath for quite a while.";"Carleton graduate student Osama Abushaban stood before a panel of four judges, all of them experienced entrepreneurs. Dressed in smart casual, he didn’t realize how nervous he was and that he had been holding his breath for quite a while."
"Carleton grad student Osama Abushaban stood before a panel of four judges, all of them experienced entrepreneurs. Dressed in smart casual, he didn’t realize how nervous he was and that he had been holding his breath for quite a while.";"Carleton grad student Osama Abushaban stood before a panel of four judges, all of them experienced entrepreneurs. Dressed in smart casual, he didn’t realize how nervous he was and that he had been holding his breath for quite a while."
"How it works?";"How it works ?"
"<p>
					Tarfee is a social network that connects football talents with football clubs, universities and scouts worldwide. We believe that every football talent deserves a chance to be noticed and recognized.
					</p>
					<p>
					Therefore, we help football talents, as well as football schools and non-profit organizations to promote their students and their organizations.
					</p>
					<p>
					For many young talents around the world, football is not just a sport, it is an opportunity to improve their lives through scholarships or contracts with football clubs. Our goal is to make this happen, by offering football talents, clubs, universities and scouts a platform that will connect them worldwide.
					</p>";"<p>
					Tarfee is a social network that connects football talents with football clubs, universities and scouts worldwide. We believe that every football talent deserves a chance to be noticed and recognized.
					</p>
					<p>
					Therefore, we help football talents, as well as football schools and non-profit organizations to promote their students and their organizations.
					</p>
					<p>
					For many young talents around the world, football is not just a sport, it is an opportunity to improve their lives through scholarships or contracts with football clubs. Our goal is to make this happen, by offering football talents, clubs, universities and scouts a platform that will connect them worldwide.
					</p>"
"The email is exists.";"We have received your request to join already."
"Learn more";"Learn more"
"Home";"Home"
"How it Works?";"How it Works?"
"Team";"Team"
"Football";"Football"
"Talents";"Talents"
"<li>- Upload your best videos to be noticed easily by football scouts, clubs, and universities all over the world</li>
												<li>- Get the best contract or scholarship</li>
												<li>- Apply for tryouts and events organized by football scouts, clubs, and universities</li>
												<li>- Avoid fraud and false offers by checking the ratings and reviews of scouts</li>
												<li>- Connect with other players and professionals to share your experience, learn, and to get advice</li>";"<li>- Upload your best videos to be noticed easily by football scouts, clubs, and universities all over the world</li>
												<li>- Get the best contract or scholarship</li>
												<li>- Apply for tryouts and events organized by football scouts, clubs, and universities</li>
												<li>- Avoid fraud and false offers by checking the ratings and reviews of scouts</li>
												<li>- Connect with other players and professionals to share your experience, learn, and to get advice</li>"
"Schools, NGOs";"Schools, NGOs"
"<li>- Promote your organization and students, and show the world what you stand for!</li>
												<li>- Create player profile for each student and upload his/her videos and information</li>
												<li>- Be engaged with your community, kids, and their parents</li>
												<li>- Create events and tryouts and invite people to join</li>
												<li>- Directly send message your followers</li>
												<li>- Avoid fraud by checking the ratings and reviews of scouts</li>";"<li>- Promote your organization and students, and show the world what you stand for!</li>
												<li>- Create player profile for each student and upload his/her videos and information</li>
												<li>- Be engaged with your community, kids, and their parents</li>
												<li>- Create events and tryouts and invite people to join</li>
												<li>- Directly send message your followers</li>
												<li>- Avoid fraud by checking the ratings and reviews of scouts</li>"
"<li>- Access the best football talents all over the world!</li>
												<li>- Find exactly what you are looking for quickly and easily: You can customize your search by filtering by age, country, position, rating, etc.</li>
												<li>- Keep eye on the players you like to follow their improvements</li>
												<li>- Create events & tryouts and invite players to join and submit their profiles</li>
												<li>- Be connected and engage with other professionals around the world</li>";"<li>- Access the best football talents all over the world!</li>
												<li>- Find exactly what you are looking for quickly and easily: You can customize your search by filtering by age, country, position, rating, etc.</li>
												<li>- Keep eye on the players you like to follow their improvements</li>
												<li>- Create events & tryouts and invite players to join and submit their profiles</li>
												<li>- Be connected and engage with other professionals around the world</li>"
"Clubs, Universities";"Clubs, Universities"
"<li>- Promote your club, university, or agency in a football dedicated environment, where all football lovers gather</li>
												<li>- Directly access and message your fans and followers</li>
												<li>- Access the best football talents all over the world</li>
												<li>- Create events & tryouts and invite players to join and submit their profiles</li>
												<li>- Conduct business with football professionals world wide</li>";"<li>- Promote your club, university, or agency in a football dedicated environment, where all football lovers gather</li>
												<li>- Directly access and message your fans and followers</li>
												<li>- Access the best football talents all over the world</li>
												<li>- Create events & tryouts and invite players to join and submit their profiles</li>
												<li>- Conduct business with football professionals world wide</li>"
"Our team";"Our team"
"Entrepreneurship Carleton-Style: TIM Program Leads the Way";"Entrepreneurship Carleton-Style: TIM Program Leads the Way"
"Read more...";"Read more..."
"“Go Global, Hire Local” Matches Technology Venture Teams with Talented Professionals";"“Go Global, Hire Local” Matches Technology Venture Teams with Talented Professionals"
"Go Global, Hire Local matches young technology entrepreneurs who wish to define and exploit global opportunities with international professionals who possess appropriate skills.";"Go Global, Hire Local matches young technology entrepreneurs who wish to define and exploit global opportunities with international professionals who possess appropriate skills."
"Carleton Students Present their Startups to Mr. Wes Nicol";"Carleton Students Present their Startups to Mr. Wes Nicol"
"For student entrepreneurs at Carleton University, there are few people who serve as a greater inspiration than successful businessman and generous philanthropist Wes Nicol.";"For student entrepreneurs at Carleton University, there are few people who serve as a greater inspiration than successful businessman and generous philanthropist Wes Nicol."
"Carleton Technology Entrepreneurs Show Off Their Startups for Senior Policy Advisers";"Carleton Technology Entrepreneurs Show Off Their Startups for Senior Policy Advisers"
"Student entrepreneurs in Carleton’s Technology Innovation Management program had a chance to show off their startups during an event attended by senior policy advisers with the Ministry of Research and Innovation.";"Student entrepreneurs in Carleton’s Technology Innovation Management program had a chance to show off their startups during an event attended by senior policy advisers with the Ministry of Research and Innovation."
"Contact us";"Contact us"
"Address :";"Address :"
"102 St. Patricks Building, 1125 Colonel By Dr, Ottawa, ON K1S 5B6";"102 St. Patricks Building, 1125 Colonel By Dr, Ottawa, ON K1S 5B6"
"Phone :";"Phone :"
"<span>Football </span>Talents";"<span>Football </span>Talents"
"<span>Football </span>Schools, NGOs";"<span>Football </span>Schools, NGOs"
"<span>Football </span>Scouts, Agents";"<span>Football </span>Scouts, Agents"
"<span>Football </span>Clubs, Universities";"<span>Football </span>Clubs, Universities"
"_EMAIL_CORE_WELCOME_BODY";"[header]<br> <br>Welcome!<br>Thank you for joining <strong>[host]</strong>. Here is your login ID:<br> <br>Email: <strong>[email]</strong><br> <br>To login, go here:<br>http://[host][object_link]<br><br>[footer]"
"_EMAIL_INVITE_SUBJECT";"[sender_title] is inviting you to join [host]!"
"_EMAIL_INVITE_BODY";"[header]<br><br>You have been invited by&nbsp;<strong>[sender_title]</strong>&nbsp;to join&nbsp;<strong>[host]</strong>. To join, please follow the link below:<br>http://[host][object_link]<br><br>Click on (Register) and use this invitation code&nbsp;<strong>[code]</strong>.<br><br><strong>Note</strong><strong>:</strong><br>[message]<br><br><br>[footer]"
"_EMAIL_INVITE_CODE_SUBJECT";"Welcome! You have been approved to join [host]"
"_EMAIL_INVITE_CODE_BODY";"[header]<br><br><br>You have been approved&nbsp;to join&nbsp;<strong>[host]</strong>. To register, please follow the link below:<br>http://[host][object_link]<br><br>Click on (Register) and use this invitation code&nbsp;<strong>[code]</strong>.<br><br><strong>Note</strong><strong>:</strong><br>[message]<br><br><br>[footer]"
"<p>
					Tarfee is a social network that connects football talents with football clubs, universities and scouts worldwide. We believe that every football talent deserves a chance to be noticed and recognized.
					</p>
					<p>
					Therefore, we help football talents, as well as football schools and non-profit organizations to promote their students and their organizations.
					</p>
					<p>
					For many young talents around the world, football is not just a sport, it is an opportunity to improve their lives through scholarships or contracts with football clubs. Our goal is to make this happen, by offering football talents, clubs, universities and scouts a platform that will connect them worldwide.
					</p>";"<p>
					Tarfee is a social network that connects football talents with football clubs, universities and scouts worldwide. We believe that every football talent deserves a chance to be noticed and recognized.
					</p>
					<p>
					Therefore, we help football talents, as well as football schools and non-profit organizations to promote their students and their organizations.
					</p>
					<p>
					For many young talents around the world, football is not just a sport, it is an opportunity to improve their lives through scholarships or contracts with football clubs. Our goal is to make this happen, by offering football talents, clubs, universities and scouts a platform that will connect them worldwide.
					</p>"
"<li>- Promote your organization and students, and show the world what you stand for!</li>
												<li>- Create player profile for each student and upload his/her videos and information</li>
												<li>- Be engaged with your community, kids, and their parents</li>
												<li>- Create events and tryouts and invite people to join</li>
												<li>- Directly send message your followers</li>
												<li>- Avoid fraud by checking the ratings and reviews of scouts</li>";"<li>- Promote your corporate and students, and show the world what you stand for!</li>
												<li>- Create player profile for each student and upload his/her videos and information</li>
												<li>- Be engaged with your community, kids, and their parents</li>
												<li>- Create events and tryouts and invite people to join</li>
												<li>- Directly send message your followers</li>
												<li>- Avoid fraud by checking the ratings and reviews of scouts</li>"
"Organization";"Corporate"
"Club Name";"Corporate Name"
"Clubs";"Corporates"
"<li>- Upload your best videos to be noticed easily by football scouts, clubs, and universities all over the world</li>
												<li>- Get the best contract or scholarship</li>
												<li>- Apply for tryouts and events organized by football scouts, clubs, and universities</li>
												<li>- Avoid fraud and false offers by checking the ratings and reviews of scouts</li>
												<li>- Connect with other players and professionals to share your experience, learn, and to get advice</li>";"<li>- Upload your best videos to be noticed easily by football scouts, clubs, and universities all over the world</li>
												<li>- Get the best contract or scholarship</li>
												<li>- Apply for tryouts and events organized by football scouts, clubs, and universities</li>
												<li>- Avoid fraud and false offers by checking the ratings and reviews of scouts</li>
												<li>- Connect with other players and professionals to share your experience, learn, and to get advice</li>"
"ACTIVITY_TYPE_COMMENT_ADVGROUP";"When someone comments on one of my clubs."
"ACTIVITY_TYPE_LIKE_ADVGROUP";"When someone likes one of my clubs."
"_EMAIL_NOTIFY_ADVGROUP_FOLLOW_EDIT_DESCRIPTION";"This email is sent to the followers of clubs."
"Clubs...";"Clubs..."
"Leave Club";"Unfollow"
"Are you sure you want to leave this club?";"Are you sure you want to unfollow this page?"
"You have successfully unfollowed this page.";"You have successfully left this group."
"You have successfully left this club.";"You are no more following this page."
"Follow Club";"Follow"
"Would you like to follow this club?";"Would you like to follow this page?"
"You are now a fan of this club.";"You are now following this page."
"Edit Club";"Edit Corproate Page"
"_EMAIL_NOTIFY_YNEVENT_NOTIFY_END_SUBJECT";"Notificación: Tu evento [object_title] está por finalizar"
"_EMAIL_NOTIFY_YNEVENT_NOTIFY_END_BODYHTML";"[header]<br> <br>El evento ""[object_title]""&nbsp;est&aacute; por finalizar. Hacer click en el siguiente link para ver el detalle:<br><br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_NOTIFY_YNEVENT_NOTIFY_START_SUBJECT";"Notificación: El evento [object_title] ha comenzado"
"_EMAIL_NOTIFY_YNEVENT_NOTIFY_START_BODYHTML";"[header]<br><br>El evento ""[object_title]""ha comenzado. Hacer click en el siguiente link para ver el detalle:<br> <br><br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_NOTIFY_YNEVENT_REMIND_SUBJECT";"Recordatorio: El evento [object_title] esta por comenzar"
"_EMAIL_NOTIFY_YNEVENT_REMIND_BODYHTML";"[header]<br> <br>Hola ""[recipient_title]"",<br><br>
<p>No te pierdas el evento de mana&ntilde;a. Has click en el siguiente link para ver detalles:</p>
Event: ""[object_title]""&nbsp;<br> <br>http://[host][object_link]<br> <br> [footer]"
"_EMAIL_NOTIFY_YNEVENT_CHANGE_DETAILS_SUBJECT";"Los detalles del evento [object_title] han cambiado"
"_EMAIL_NOTIFY_YNEVENT_CHANGE_DETAILS_BODYHTML";"[header]<br><br>Los detalles del evento ""[object_title]""&nbsp;&nbsp;que estas siguiendo han sido modificado. Para conocer mas detalles hacer click en el siguiente link:<br><br> http://[host][object_link]<br> [footer]"
"_EMAIL_NOTIFY_YNEVENT_INVITE_SUBJECT";"Has sido invitado para unirte evento [object_title]"
