#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"This phrase is pluralized. Example values:";"Esta frase tiene forma diferente en plural. Valores de ejemplo:"
"When you've finished editing this language pack, you can return to the %s.";"Cuando haya terminado de editar este paquete de idioma, puede regresar al %s."
"Previous Page";"Página previa"
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_INDEX_DESCRIPTION";"La configuración de su red Social incluye cientos de frases de texto que son almacenadas en un paquete de idioma. Si quiere cambiar alguna de estas frases, puede editar el paquete de idioma más abajo. Si desea permitir a sus usuarios seleccionar diferentes paquetes de idioma, puede crear o importar paquetes adicionales. Si tiene varios paquetes instalados, el que tenga marcado como por defecto será el que se muestre si el usuario no ha especificado uno de preferencia."
"Upload New Pack";"Subir nuevo paquete"
"Create New Pack";"Crear nuevo paquete"
"edit phrases";"editar frases"
"export";"exportar"
"default";"por defecto"
"Next Page";"Página siguiente"
"Add New Phrase";"Añadir nueva frase"
"No phrases found.";"No se han encontrado frases con ese criterio"

#ABUSE REPORTS

"Delete Report?";"¿Borrar Informe?"
"Are you sure that you want to delete this report? It will not be recoverable after being deleted.";"¿Está seguro de querer borrar este Informe?. Posteriormente no podrá recuperarlo."
"Delete the selected reports?";"¿Borrar los informes seleccionados?"
"Are you sure that you want to delete this %d report? It will not be recoverable after being deleted.";"¿Desea borrar este informe de %d? No será recuperable una vez eliminado.";"¿Desea borrar estos informes de %d? No serán recuperables una vez eliminados."
"This page lists all of the reports your users have sent in regarding inappropriate content, system abuse, spam, and so forth. You can use the search field to look for reports that contain a particular word or phrase. Very old reports are periodically deleted by the system.";"Esta página muestra todas las denuncias que han remitido sus usuarios en relación con material a su juicio inapropiado, abuso del sistema, spam, etcétera. Puede usar el campo de búsqueda para localizar informes que contengan una palabra o frase en concreto. Los informes antiguos se borran paulatinamente por el sistema.."
"Dismiss Selected";"cancelar la selección"
"There are currently no outstanding abuse reports.";"No hay informes de abuso en este momento pendientes de supervisar."
"Content Type";"Tipo de contenido"

#LOGS

"CORE_VIEWS_SCRIPTS_ADMINSTATS_INDEX_DESCRIPTION";"Esté al día del pulso de su red Social con estas Estadísticas Globales. Puede seleccionar mediante los filtros facilitados distintos parámetros y el cambio en diferentes intervalos de tiempo."
"Top Referring Sites";"Principales sitios web de procedencia"

"CORE_VIEWS_SCRIPTS_ADMINSTATS_REFERRERS_DESCRIPTION";"Estas son las 100 URLs de procedencia más comunes que han sido registradas en su página. Esto le indica de dónde provienen la mayor parte de sus visitantes. Vaciar esta lista de vez en cuando le ofrecerá resultados actualizados."
"Are you sure you want to clear the referrers?";"¿Desea limpiar el registro de URLs de procedencia?"
"Hits";"Visitas"
"Referring URL";"URL de procedencia"
"There have not been any referrers logged yet.";"Aún no se ha registrado URLs de procedencia todavía."
"CORE_VIEWS_SCRIPTS_ADMINSYSTEM_LOG_DESCRIPTION";"Los Registros del sistema ayudan en la identificación y resolución de errores. Seleccione el registro que desea evaluar."
"Empty Log";"Registro vacío"
"Error log";"Registro de errores"
"Language log";"Registro de idioma"
"Video encoding log";"Registro de codificado de vídeo"
"Show %s Line";"Mostrar %s Línea";"Mostrar %s Líneas"
"Show 100 Lines";"Mostrar 100 Líneas"
"Show 1000 Lines";"Mostrar 1000 Líneas"
"Show 5000 Lines";"Mostrar 5000 Líneas"
"Show 10000 Lines";"Mostrar 10000 Líneas"
"Show 50000 Lines";"Mostrar 50000 Líneas"
"View Log";"Ver registro"
"Are you sure you want to empty the %s";"¿Desea vaciar el %s?"


"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_DESCRIPTION";"Personalice el aspecto general de su red Social editando la plantilla actual o seleccionado una nueva. La plantilla consta de diferentes ficheros CSS. Si desea hacer cambios o personalizar estos ficheros, seleccione el que desea editar en el menú desplegable. Si por el contrario desea una plantilla completamente nueva, vaya al seleccionador de plantillas en la parte de abajo."
"If you leave the page now, your changes will be lost. Are you sure you want to continue?";"Si abandona la página ahora perderá los cambios que haya realizado. ¿Desea continuar?"
"Your changes have been saved!";"Se han guardado los cambios."
"An error has occurred. Changes could NOT be saved.";"Ha ocurrido un error. Sus cambios NO se han guardado."
"Edit your current theme:";"Editar su plantilla actual:"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_STYLESHEETSPERMISSION";"Los ficheros de estilo para la plantilla actual no tienen permiso de escritura. Modifique los permisos de manera recursiva (CHMOD -R 0777) en la carpeta ""application/themes/%s"" e inténtelo de nuevo."
"Upload Theme";"Subir Plantilla"
"Revert";"Deshacer cambios"
"Theme Author";"Autor de la Plantilla"



"%s's Dashboard";"Panel principal del %s"
"View Members";"Ver usuarios"
"View Abuse Reports";"Ver informes de Abuso"
"Manage Plugins";"Administrar Plugins"
"Edit Site Layout";"Editar Aspecto de la Red Social"
"Edit Site Theme";"Editar Plantillas de la Red Social"
"View Statistics";"Ver Estadísticas"
"Post Announcement";"Publicar Aviso"
"Get More Plugins";"Conseguir más plugins"
"Get More Themes";"Conseguir más plantillas"
"SocialEngine Control Panel";"Panel de Control Red Social"
"You're signed-in as %s";"Ha entrado como %s"
"back to network";"volver a la Red Social"
"sign out";"cerrar sesión"
"News & Updates";"Noticias y Actualizaciones"
"More SE News";"Más noticias del proveedor de la herramienta"
"Select Language: ";"Seleccionar Idioma: "
"US/Pacific";"US/Pacific"
"(UTC-8) Pacific Time (US & Canada)";"(UTC-8) Pacific Time (US & Canada)"
"US/Mountain";"US/Mountain"
"(UTC-7) Mountain Time (US & Canada)";"(UTC-7) Mountain Time (US & Canada)"
"US/Central";"US/Central"
"(UTC-6) Central Time (US & Canada)";"(UTC-6) Central Time (US & Canada)"
"US/Eastern";"US/Eastern"
"(UTC-5) Eastern Time (US & Canada)";"(UTC-5) Eastern Time (US & Canada)"
"America/Halifax";"America/Halifax"
"(UTC-4)  Atlantic Time (Canada)";"(UTC-4)  Atlantic Time (Canada)"
"America/Anchorage";"America/Anchorage"
"(UTC-9)  Alaska (US & Canada)";"(UTC-9)  Alaska (US & Canada)"
"Pacific/Honolulu";"Pacific/Honolulu"
"(UTC-10) Hawaii (US)";"(UTC-10) Hawaii (US)"
"Pacific/Samoa";"Pacific/Samoa"
"(UTC-11) Midway Island, Samoa";"(UTC-11) Midway Island, Samoa"
"Etc/GMT-12";"Etc/GMT-12"
"(UTC-12) Eniwetok, Kwajalein";"(UTC-12) Eniwetok, Kwajalein"
"Canada/Newfoundland";"Canada/Newfoundland"
"(UTC-3:30) Canada/Newfoundland";"(UTC-3:30) Canada/Newfoundland"
"America/Buenos_Aires";"America/Buenos_Aires"
"(UTC-3) Brasilia, Buenos Aires, Georgetown";"(UTC-3) Brasilia, Buenos Aires, Georgetown"
"Atlantic/South_Georgia";"Atlantic/South_Georgia"
"(UTC-2) Mid-Atlantic";"(UTC-2) Mid-Atlantic"
"Atlantic/Azores";"Atlantic/Azores"
"(UTC-1) Azores, Cape Verde Is.";"(UTC-1) Azores, Cape Verde Is."
"Europe/London";"Europe/London"
"Greenwich Mean Time (Lisbon, London)";"Greenwich Mean Time (Lisbon, London)"
"Europe/Berlin";"Europe/Berlin"
"(UTC+1) Amsterdam, Berlin, Paris, Rome, Madrid";"(UTC+1) Amsterdam, Berlin, Paris, Rome, Madrid"
"Europe/Athens";"Europe/Athens"
"(UTC+2) Athens, Helsinki, Istanbul, Cairo, E. Europe";"(UTC+2) Athens, Helsinki, Istanbul, Cairo, E. Europe"
"Europe/Moscow";"Europe/Moscow"
"(UTC+3) Baghdad, Kuwait, Nairobi, Moscow";"(UTC+3) Baghdad, Kuwait, Nairobi, Moscow"
"Iran";"Iran"
"(UTC+3:30) Tehran";"(UTC+3:30) Tehran"
"Asia/Dubai";"Asia/Dubai"
"(UTC+4) Abu Dhabi, Kazan, Muscat";"(UTC+4) Abu Dhabi, Kazan, Muscat"
"Asia/Kabul";"Asia/Kabul"
"(UTC+4:30) Kabul";"(UTC+4:30) Kabul"
"Asia/Yekaterinburg";"Asia/Yekaterinburg"
"(UTC+5) Islamabad, Karachi, Tashkent";"(UTC+5) Islamabad, Karachi, Tashkent"
"Asia/Dili";"Asia/Dili"
"(UTC+5:30) Bombay, Calcutta, New Delhi";"(UTC+5:30) Bombay, Calcutta, New Delhi"
"Asia/Katmandu";"Asia/Katmandu"
"(UTC+5:45) Nepal";"(UTC+5:45) Nepal"
"Asia/Omsk";"Asia/Omsk"
"(UTC+6) Almaty, Dhaka";"(UTC+6) Almaty, Dhaka"
"India/Cocos";"India/Cocos"
"(UTC+6:30) Cocos Islands, Yangon";"(UTC+6:30) Cocos Islands, Yangon"
"Asia/Krasnoyarsk";"Asia/Krasnoyarsk"
"(UTC+7) Bangkok, Jakarta, Hanoi";"(UTC+7) Bangkok, Jakarta, Hanoi"
"Asia/Hong_Kong";"Asia/Hong_Kong"
"(UTC+8) Beijing, Hong Kong, Singapore, Taipei";"(UTC+8) Beijing, Hong Kong, Singapore, Taipei"
"Asia/Tokyo";"Asia/Tokyo"
"(UTC+9) Tokyo, Osaka, Sapporto, Seoul, Yakutsk";"(UTC+9) Tokyo, Osaka, Sapporto, Seoul, Yakutsk"
"Australia/Adelaide";"Australia/Adelaide"
"(UTC+9:30) Adelaide, Darwin";"(UTC+9:30) Adelaide, Darwin"
"Australia/Sydney";"Australia/Sydney"
"(UTC+10) Brisbane, Melbourne, Sydney, Guam";"(UTC+10) Brisbane, Melbourne, Sydney, Guam"
"Asia/Magadan";"Asia/Magadan"
"(UTC+11) Magadan, Soloman Is., New Caledonia";"(UTC+11) Magadan, Soloman Is., New Caledonia"
"Pacific/Auckland";"Pacific/Auckland"
"(UTC+12) Fiji, Kamchatka, Marshall Is., Wellington";"(UTC+12) Fiji, Kamchatka, Marshall Is., Wellington"
"Network Information";"Información de la Red"
"License Key";"Licencia"
"Created";"Creado"
"Statistics";"Estadísticas"
"Today";"Hoy"
"Total";"Total"
"Page Views";"Páginas vistas"
"Sign-ins";"Entradas a sistema"
"Private Messages";"Mensajes privados"
"Friendships";"Amigos establecidos"
"Comments";"Comentarios"
"Yes";"Sí"
"No";"No"
"Are you sure you want to delete these file(s)?";"Desea borrar este(os) archivo(s)?"
"Delete!";"Borrar"
"Unable to delete";"Imposible borrarlos"
"File failed to upload. Check your server settings (such as php.ini max_upload_filesize).";"Falló la subida del archivo. Compruebe la configuración del Servidor (por ejemplo php.ini max_upload_filesize)."
"File already exists. Please delete before trying to upload.";"Ya existe el archivo. Borre %s antes de intentarlo de nuevo."
"Path is not writeable. Please CHMOD 0777 the public/admin directory.";"No se puede escribir en la dirección proporcionada. Cambie permisos a CHMOD 0777 en las carpetas public/admin ."
"Unable to move file to upload directory.";"Imposible copiar el archivo en el directorio de destino."
"Back to File Manager";"Volver al administrador de archivos"
"Attach";"Adjuntar"
"Don't show an image";"No mostrar imagen"
"Choose Image:";"Elegir imagen:"
"%d of %d";"%d de %d"
"Select File";"Seleccionar Archivo"
"Control Panel";"Panel de control"
"Profile Views: %s view";"Visitas a su perfil: %s visualización";"visitas: %s visualizaciones"
"Friends: %s friend";"Amigos: %s contacto";"Amigos: %s amigos"
"Last Update: %s";"Última actualización: %s"
"Joined: %s";"Alta: %s"
"Nothing has been posted here yet - be the first!";"No se ha publicado nada aquí - podría ser el primero en hacerlo"
"Add to My Friends";"Añadir a mis Amistades"
"Networks:";"Redes:"
"Send To";"Enviar a"
"settings";"preferencias"
"enable";"habilitar"
"Add New Plugin";"Añadir nuevo Plugin"
"Find More Plugins";"Encontrar más Plugins"
"Version";"Versión"
"CORE_LAYOUT_DESC";"Emplee este editor de Aspecto para decidir sobre el contenido que aparecerá en las distintas páginas o en la cabecera y pie de página de su Red Social. Pulse y arrastre los ""bloques"" de color para organizar a su manera el contenido que aparecerá en cada página. Arrastre bloques desde la columna de ""Bloques disponibles"" para añadirlos o quitarlos de la página que está editando. Emplee ""Bloques de HTML"" para colocar contenido personalizado o cualquier clase de código que desee incorporar a la página."
"Shows the page's primary content area. (Not all pages have primary content)";"Muestra el contenido primario de la página. (No todas las páginas lo tienen)"
"Editing:";"Editando:"
"Note: Some blocks won't appear if you're not signed-in or if they don't belong on this page.";"Nota: Algunos bloques no aparecerán si el usuario no se ha identificado o no se les permite visualizar esta página o no pertenecen a esta página."
"Page Block Placement";"Página de colocación de contenido"

"CORE_VIEWS_SCRIPTS_ADMINPLUGINS_DESCRIPTION";"Los Plugins pueden ampliar y mejorar muchos aspectos de su Red Social. Ofrecen nuevas funciones a sus usuarios, haciendo más interactiva y atractiva su Red Social. También puede darle más control sobre cómo funciona su Red Social. Si ha adquirido un nuevo Plugin recientemente, puede instalarlo pulsando en el enlace ""Añadir nuevo Plugin""."


#GENERAL SETTINGS

"These settings affect your entire community and all your members.";"Estos ajustes afectan a toda la Red Social y sus Usuarios."
"Maintenance Mode";"Modo de Mantenimiento"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_DESCRIPTION";"El modo de mantenimiento previene el acceso de visitantes a su Red Social. Puede personalizar su página por defecto editándola manualmente en el fichero ""/application/maintenance.html""."
"Online";"Funcionando con normalidad"
"Offline (Maintenance Mode)";"Offline (Modo de Mantenimiento)"
"Site Title";"Título del Sitio Web"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITETITLE_DESCRIPTION";"Dé a su Red Social un nombre único. Esto aparecerá en la etiqueta del <title> a lo largo de toda su Red Social."
"Site Description";"Descripción del Sitio Web o de la Red Social"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEDESCRIPTION_DESCRIPTION";"Describa brevemente su Red Social. Incluya algunas palabras clave que desea aparezcan en los motores de búsqueda."
"Site Keywords";"Palabras clave que definen su Red Social"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEKEYWORDS_DESCRIPTION";"Facilite algunas palabras clave (separadas por comas) que mejor describan su Red Social. Serán las <meta> tags que aparecerán por defecto en la cabecera de la página. Incluya las más relevantes de modo que ayuden a una mejor valoración de su Red Social por parte de los motores de búsqueda."

"Member Profiles";"Perfiles de Usuario"
"Yes, give the public access.";"Sí, dar acceso al público en general."
"No, visitors must sign in to view member profiles.";"No, los visitantes deben identificarse para acceder a los perfiles de los usuarios."
"Search Page";"Página de búsqueda"
"No, visitors must sign in to view the search page.";"No, los visitantes deben identificarse para acceder a la página de búsqueda."
"Portal Page";"Página Principal"
"No, visitors must sign in to view the main portal page.";"No, los visitantes deben identificarse para acceder a la página principal."
"Browse Members Page";"Listar las páginas de los usuarios"
"No, visitors must sign in to view the members browse page.";"No, los visitantes deben identificarse para acceder a la página con el listado de usuarios."


#STORAGE

"Storage Quota";"Capacidad de almacenamiento"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_QUOTA_DESCRIPTION";"¿Cuanto contenido (fotos, canciones, vídeos, etc.) quiere que cada miembro pueda almacenar? Este límite sólo se extiende al material directamente subido, no lo que el usuario enlaza o incrusta y está realmente alojado en otros sitios web."
"1 MB";"1 MB"
"5 MB";"5 MB"
"25 MB";"25 MB"
"100 MB";"100 MB"
"500 MB";"500 MB"
"1 GB";"1 GB"
"2 GB";"2 GB"
"5 GB";"5 GB"
"10 GB";"10 GB"
"Unlimited";"Ilimitado"
"Allow HTML in Comments?";"¿HTML permitido en los comentarios?"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_COMMENTHTML_DESCRIPTION";"Por defecto, los usuarios no pueden incluir etiquetas HTML en los comentarios. Si quiere permitir etiquetas concretas, puede especificarlas a continuación (separadas por comas). Ejemplo: b, img, a, embed, font"
"Default Timezone";"Zona horaria por defecto"
"CORE_FORM_ADMIN_SETTINGS_LOCALE_DESCRIPTION";"Seleccione una zona horaria por defecto para su Red Social. Será la zona horaria por defecto que se aplicará a los nuevos usuarios a menos que ellos selecciones una distinta en el proceso de registro, o siempre que no se hayan identificado y naveguen como visitantes. Selecciones el formato de fechas que desea usar en su Red Social. Esto afectará al aspecto con el que se mostrarán en su Red Social todas las fechas y horas."

"Invite Only?";"Por invitación sólo"
"Yes, make members complete the CAPTCHA form.";"Sí, los usuarios deben completar el formulario con palara de verificación (CAPTCHA)."
"No, do not show a CAPTCHA form.";"No, no mostrar verificación de palabra (CAPTCHA)."

"CORE_FORM_ADMIN_SETTINGS_SPAM_DESCRIPTION";"Las Redes Sociales, con frecuencia se convierten en objetivo de ataques y tácticas de Spam. Suele darse con la creación de cuentas de usuario falsas y Spam en los comentarios. Desde esta página puede administrar varias herramientas anti-spam y de censura. Advertencia: Para habilitar la verificación de palabra en el proceso de registro de usuarios (una herramienta anti-spam muy popular), vea la página con el proceso de registro en el apartado de Preferencias"
"No, do not show a CAPTCHA form to anyone.";"No, no mostrar imagen de verificación de palabras (CAPTCHA) a ningún usuario."
"Yes, make everyone complete the CAPTCHA form.";"Sí, mostrar imagen de verificación de palabras (CAPTCHA) a todos."
"Yes, make visitors complete CAPTCHA, but members are exempt.";"Sí, mostrar imagen de verificación de palabras (CAPTCHA) al público excepto a los Usuarios registrados."
"Censored Words";"Palabras censuradas"

"CORE_FORM_ADMIN_SETTINGS_SPAM_CENSOR_DESCRIPTION";"Teclee aquellas palabras que desea censurar. Se reemplazarán con asteriscos (*), y sólo afectará a los nuevos contenidos. Separa cada palabra por una coma, al estilo palabra1, palabra2"
"CORE_ADMIN_FORM_SETTINGS_SPAM_COMMENTHTML_DESCRIPTION";"Por defecto, los usuarios no pueden incluir etiquetas HTML en los comentarios. Si quiere permitir etiquetas concretas, puede especificarlas a continuación (separadas por comas). Ejemplo: b, img, a, embed, font"

"Require new users to enter validation code when signing up?";"¿Solicitar a los nuevos usuarios la introducción de un código de validación cuando se registren?"
"Require users to enter validation code when commenting?";"¿Solicitar a los usuarios que introduzcan un código de validación cuando comenten?"
"Require users to enter validation code when inviting others?";"¿Solicitar a los usuarios que introduzcan un código de validación cuando inviten a otros?"
"Require users to enter validation code when using the contact form?";"¿Solicitar a los usuarios la introducción de un código de validación cuando usen el formulario de contacto?"
"Require users to enter validation code when signing in?";"¿Solicitar a los usuarios que introduzcan un código de validación cuando se identifiquen?"
"IP Address Ban";"Bloqueo de direcciones de IP"
"CORE_FORM_ADMIN_SETTINGS_SPAM_IPBANS_DESCRIPTION";"Para prohibir el acceso de ciertos usuarios desde determinadas IPs teclee las direcciones concretas en el campo a continuación. Dichas direcciones deben separarse por comas y ser del estilo siguiente 123.45.67.8, 23.45.67.*, 192.168.1.1-192.168.1.55"
"Email Templates";"Plantillas de correo"
"CORE_FORM_ADMIN_SETTINGS_EMAIL_DESCRIPTION";"Una serie de correos de notificación son remitidos al usuario según van interactuando con el resto de usuarios de su Red Social. Utilice este apartado para personalizar el contenido de estos correos electrónicos. Cualquier cambio efectuado sólo surtirá efecto una vez que pulsa sobre el botón de ""Guardar cambios"" al final del formulario."
"From Name";"Nombre del Remitente"
"Enter the name you want the emails from the system to come from in the field below.";"Introduzca a continuación el nombre con el que quiere que se envíen los mensajes del sistema."
"From Address";"Dirección del Remitente"
"Enter the email address you want the emails from the system to come from in the field below.";"Introduzca a continuación el correo electrónico con el que quiere que se envíen los mensajes del sistema."
"Language Pack";"Idioma"
"Your community has more than one language pack installed. Please select the language pack you want to edit right now.";"Su Red social tiene más de un paquete de idiomas instalado. Seleccione en el menu desplegable el que quiere editar en este momento."
"Choose Message";"Seleccionar mensaje"
"Message Body";"Cuerpo del mensaje"
"English";"Inglés"
"Invite Code";"Código de Invitación"
"Invitation";"Invitación"
"Email Address Verification";"Verificación de Correo Electrónico"
"Email Address Verification With Password";"Verificación de Correo Electrónico con Contraseña"
"Welcome";"Bienvenido"
"Welcome With Password";"Bienvenida con Contraseña"
"Also Commented";"También Comentó"
"Friend Approved";"Contacto Aprobado"
"Friend Request";"Solicitud de Contacto"
"%s friend request";"%s solicitud de contacto";"%s solicitudes de contacto"
"Friend Follow";"Seguimiento de Contacto"
"Comment on Liked";"Comentario a Recomendación"
"Follow Approved";"Seguimiento Aprobado"
"Follow Request";"Solicitud de Seguimiento"

"Theme Manager";"Administrador de Plantillas"
"Clone a theme pack";"Clonar un Paquete de Plantilla"
"Title of new theme";"Título de la nueva Plantilla"
"Theme Description";"Descripción de la Plantilla"
"Theme to clone";"Plantilla que clonar"
"Clone";"Clonar"
"Upload a theme pack";"Subir un paquete de Plantillas"
"Theme Title";"Título de la Plantilla"
"What would you like to title this theme? (Leave blank to use the default theme title)";"¿Cómo le gustaría titular esta plantilla? (Dejar en blanco para usar el nombre por defecto de la misma)"
"Please describe the theme you are uploading.";"Describa la plantilla que está instalando."
"Theme file";"Fichero de plantilla"
"Select the theme file you wish to upload. Note: this must be a file packaged into a TAR file.";"Seleccione la plantilla que quiere instalar. Advertencia: debe tratarse de un fichero comprimido tipo TAR."
"Upload";"Subir"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_DESCRIPTION";"Personalice el aspecto general de su red Social editando la plantilla actual o seleccionado una nueva. La plantilla consta de diferentes ficheros CSS. Si desea hacer cambios o personalizar estos ficheros, seleccione el que desea editar en el menú desplegable. Si por el contrario desea una plantilla completamente nueva, vaya al seleccionador de plantillas en la parte de abajo."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_REVERTTHEMEFILE";"¿Desea deshacer todos los cambios realizados a esta plantilla? Si es así, se restaurará la plantilla original y se perderán todos los cambios efectuados hasta el momento. Si desea conservar sus cambios, expórtelos primero a su ordenador."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_TIP";"No se pueden modificar las hojas de estilo para la plantilla seleccionada. Por favor, asigne los permisos de manera recursiva (CHMOD -R 0777) en ""%s"" e inténtelo de nuevo."
"Upload New Files";"Subir nuevos archivos"
"Create Menu Item";"Crear nueva opción de Menú"
"Label";"Etiqueta"
"URL";"URL"
"Open in a new window?";"¿Abrir en una ventana nueva?"
"Delete Menu Item";"Borrar opción de Menú"
"Edit Menu Item";"Editar opción de Menú"
"CORE_VIEWS_SCRIPTS_ADMINMENU_INDEX_DESCRIPTION";"Emplee esté espacio para administrar la navegación por los menús de su Red Social. Cuando seleccione el Menú que desea editar se desplegará una lista de los apartados del menú que contiene. Puede arrastrarlos para alterar su posición."
"All";"Todo"
"Cumulative";"Acumulado"
"Change in";"Cambios en"
"Page views";"Páginas vistas"
"This week";"Esta Semana"
"This month";"Este mes"
"This year";"Este Año"
"By Day";"Por Día"
"By Week";"Por Semana"
"By Month";"Por Mes"
"By Year";"Por Año"
"";""
" ";" "
"here";"aquí"
"install plugin";"instalar plugin"
"New plugins available for installation:";"Nuevos plugins disponibles para instalación:"
"disable";"Inhabilitar"
"Putting your site in development mode will disable caching, and will display error messages to the end-user.";"Al poner la Red Social en modo de desarrollo se inhabilitará la opción de Caché y se mostrarán mensajes de error en la pantalla de usuario final."
"Production Mode";"Modo de Producción"
"Development Mode";"Modo de Desarrollo"
"Environment Mode";"Modo ambiental"
"Loading ...";"Cargando ..."
"CAPTCHA_DESCRIPTION";"Teclee los caracteres que se ven en la imagen."
"_CAPTCHA_DESCRIPTION";"Teclee los caracteres que se ven en la imagen."
"_EMAIL_CORE_CONTACT_TITLE";"Formulario de Contacto por correo electrónico"
"_EMAIL_CORE_CONTACT_DESCRIPTION";"Este correo se remite al Administrador Principal cuando un usuario envía un mensaje empleando la página de contacto.
<br />
<br />
Variables disponibles:
<br />
[name],[email],[message]"
"_EMAIL_CORE_CONTACT_SUBJECT";"Un Usuario ha remitido un Mensaje empleando la página de Contacto."
"_EMAIL_CORE_CONTACT_BODY";"[name] le ha enviado un mensaje empleando la página de Contacto:<br/>
Email : [email]<br/>
Message: [message]"
"_EMAIL_CORE_INVITECODE_TITLE";"Código de Invitación"
"_EMAIL_CORE_INVITECODE_DESCRIPTION";"Este es el correo que se envía cuando se requiere la introducción de un código para abrir una cuenta en la Red Social .
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[message],[link]"
"_EMAIL_CORE_INVITE_TITLE";"Invitación a la Red Social"
"_EMAIL_CORE_INVITE_DESCRIPTION";"Este es el correo que es enviado cuando los usuarios invitan a sus amigos durante el proceso de registro.
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[message],[link]"
"_EMAIL_CORE_WELCOME_TITLE";"Bienvenido"
"_EMAIL_CORE_WELCOME_DESCRIPTION";"Este es el correo que es enviado cuando un usuario se registra y la generación de contraseñas aleatorias NO está activada.
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[link]"
"_EMAIL_CORE_LOSTPASSWORD_TITLE";"Contraseña Olvidada"
"_EMAIL_CORE_LOSTPASSWORD_DESCRIPTION";"Este es el correo que es enviado cuando un usuario olvida su contraseña y solicita una nueva.
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[link]"
"_EMAIL_CORE_COMMENTED_TITLE";"[Red Social] - Nuevo comentario a uno de sus artículos"
"_EMAIL_CORE_COMMENTED_DESCRIPTION";"Este correo electrónico se envía al usuario cuando se hace un comentario a una de sus aportaciones.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[item],[message],[link]"
"_EMAIL_CORE_COMMENTED_COMMENTED_TITLE";"[Red Social] - Nuevo comentario a uno de sus artículos que ha comentado"
"_EMAIL_CORE_COMMENTED_COMMENTED_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien comenta a algo que había comentado antes.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[item],[message],[link]"
"_EMAIL_CORE_FRIEND_ACCEPTED_TITLE";"[Red Social] - Nuevo Contacto establecido"
"_EMAIL_CORE_FRIEND_ACCEPTED_DESCRIPTION";"Este es el correo que es enviado al usuario cuando su solicitud de contacto ha sido aprobada.
<br />
<br />
Variables disponibles:
<br />
[displayname],[friendname],[link]"
"_EMAIL_CORE_FRIEND_REQUEST_TITLE";"[Red Social] - Nueva Solicitud de Contacto"
"_EMAIL_CORE_FRIEND_REQUEST_DESCRIPTION";"Este es el correo que se envía al usuario cuando otro usuario le solicita establecer contacto.
<br />
<br />
Variables disponibles:
<br />
[displayname],[friendname],[link]"
"_EMAIL_CORE_LIKED_TITLE";"[Red Social] - Alguien ha recomendado su Artículo"
"_EMAIL_CORE_LIKED_DESCRIPTION";"Este es el correo enviado al usuario cuando a alguien le gusta su artículo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[item],[link]"
"_EMAIL_CORE_LIKED_COMMENTED_TITLE";"[Red Social] - Nuevo comentario a uno de los artículos que recomendó"
"_EMAIL_CORE_LIKED_COMMENTED_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien comenta un artículo que reocmendó.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[item],[message],[link]"
"_EMAIL_CORE_MESSAGE_NEW_TITLE";"[Red Social] - Ha recibido un nuevo mensaje"
"_EMAIL_CORE_MESSAGE_NEW_DESCRIPTION";"Este es el correo que se envía al usuario cuando recibe un mensaje nuevo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_CORE_POST_USER_TITLE";"[Red Social] - Alguien ha publicado en su página del perfil"
"_EMAIL_CORE_POST_USER_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien ha publicado algo en su perfil de usuario.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_CORE_TAGGED_TITLE";"[Red Social] - Alguien le ha etiquetado en una foto"
"_EMAIL_CORE_TAGGED_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien le etiqueta.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[item],[link]"
